Region,Salmon Area Name,Year,Species Code,Number of Fish (estimated),Estimated Exvessel Value (Nominal),Landed Weight (lbs)
AYK,Norton Sound,1998,Sockeye,,,
AYK,Norton Sound,1999,Chinook,2508,40189.43,48421
AYK,Norton Sound,1999,Chum,7881,8302.46,57656
AYK,Norton Sound,1999,Coho,,,
AYK,Norton Sound,2000,Chinook,,,
AYK,Norton Sound,2000,Chum,,,
AYK,Norton Sound,2000,Coho,,,
AYK,Norton Sound,2000,Pink,,,
AYK,Norton Sound,2000,Sockeye,,,
AYK,Norton Sound,2001,Chinook,,,
AYK,Norton Sound,2001,Chum,,,
AYK,Norton Sound,2001,Coho,,,
AYK,Norton Sound,2001,Sockeye,,,
AYK,Norton Sound,2002,Chinook,,,
AYK,Norton Sound,2002,Chum,,,
AYK,Norton Sound,2002,Coho,,,
AYK,Norton Sound,2002,Sockeye,,,
AYK,Norton Sound,2003,Chinook,,,
AYK,Norton Sound,2003,Chum,,,
AYK,Norton Sound,2003,Coho,,,
AYK,Norton Sound,2003,Sockeye,,,
AYK,Norton Sound,2004,Chum,,,
AYK,Norton Sound,2004,Coho,,,
AYK,Norton Sound,2004,Sockeye,,,
AYK,Norton Sound,2005,Chinook,,,
AYK,Norton Sound,2005,Chum,,,
AYK,Norton Sound,2005,Coho,,,
AYK,Norton Sound,2005,Sockeye,,,
AYK,Norton Sound,2006,Chinook,,,
AYK,Norton Sound,2006,Chum,,,
AYK,Norton Sound,2006,Coho,,,
AYK,Norton Sound,2006,Sockeye,,,
AYK,Norton Sound,2007,Chinook,,,
AYK,Norton Sound,2007,Chum,,,
AYK,Norton Sound,2007,Coho,,,
AYK,Norton Sound,2007,Pink,,,
AYK,Norton Sound,2007,Sockeye,,,
AYK,Norton Sound,2008,Chinook,,,
AYK,Norton Sound,2008,Chum,,,
AYK,Norton Sound,2008,Coho,,,
AYK,Norton Sound,2008,Pink,,,
AYK,Norton Sound,2008,Sockeye,,,
AYK,Norton Sound,2009,Chum,,,
AYK,Norton Sound,2009,Coho,,,
AYK,Norton Sound,2009,Pink,,,
AYK,Norton Sound,2009,Sockeye,,,
AYK,Norton Sound,2010,Chinook,,,
AYK,Norton Sound,2010,Chum,,,
AYK,Norton Sound,2010,Coho,,,
AYK,Norton Sound,2010,Pink,,,
AYK,Norton Sound,2010,Sockeye,,,
AYK,Norton Sound,2011,Chinook,,,
AYK,Norton Sound,2011,Chum,,,
AYK,Norton Sound,2011,Coho,,,
AYK,Norton Sound,2011,Pink,,,
AYK,Norton Sound,2011,Sockeye,,,
AYK,Norton Sound,2012,Chum,62765,221971.22,425235
AYK,Norton Sound,2012,Coho,36963,361598.98,245078
AYK,Norton Sound,2012,Pink,205403,174794.25,492374
AYK,Norton Sound,2012,Sockeye,,,
AYK,Norton Sound,2013,Chum,,,
AYK,Norton Sound,2013,Coho,,,
AYK,Norton Sound,2013,Pink,,,
AYK,Norton Sound,2013,Sockeye,,,
AYK,Norton Sound,2014,Chinook,,,
AYK,Norton Sound,2014,Chum,107674,443270,747466
AYK,Norton Sound,2014,Coho,112568,1303078.43,815488
AYK,Norton Sound,2014,Pink,,,
AYK,Norton Sound,2014,Sockeye,,,
AYK,Norton Sound,2015,Chinook,,,
AYK,Norton Sound,2015,Chum,147350,507585.55,1018487
AYK,Norton Sound,2015,Coho,153844,1349122.5,1226475
AYK,Norton Sound,2015,Pink,,,
AYK,Norton Sound,2015,Sockeye,3653,15385.2,25642
AYK,Norton Sound,2016,Chinook,,,
AYK,Norton Sound,2016,Chum,51169,172604.51,345218
AYK,Norton Sound,2016,Coho,102729,976684.07,701643
AYK,Norton Sound,2016,Pink,208756,74772.12,747728
AYK,Norton Sound,2016,Sockeye,,,
AYK,Norton Sound,2017,Chinook,230,6958.41,2321
AYK,Norton Sound,2017,Chum,163422,926102.12,1163450
AYK,Norton Sound,2017,Coho,,,
AYK,Norton Sound,2017,Pink,18954,3641.95,72839
AYK,Norton Sound,2017,Sockeye,2806,23447.2,16750
AYK,Norton Sound,2018,Chinook,,,
AYK,Norton Sound,2018,Chum,,,
AYK,Norton Sound,2018,Coho,,,
AYK,Norton Sound,2018,Pink,,,
AYK,Norton Sound,2018,Sockeye,,,
AYK,Norton Sound,2019,Chinook,,,
AYK,Norton Sound,2019,Chum,157938,583623.49,1064008
AYK,Norton Sound,2019,Coho,,,
AYK,Norton Sound,2019,Pink,,,
AYK,Norton Sound,2019,Sockeye,,,
AYK,Norton Sound,2020,Chinook,,,
AYK,Norton Sound,2020,Chum,,,
AYK,Norton Sound,2020,Coho,,,
AYK,Norton Sound,2020,Pink,,,
AYK,Norton Sound,2020,Sockeye,,,
AYK,Yukon,1979,Chinook,127153,2810710.02,2611675
AYK,Yukon,1979,Chum,1135867,4412146.65,8316118
AYK,Yukon,1979,Coho,17043,95315.96,124977
AYK,Yukon,1980,Chinook,152516,3513581.41,3409161
AYK,Yukon,1980,Chum,1218328,2014809.97,8320427
AYK,Yukon,1980,Coho,8738,19623.3,55978
AYK,Yukon,1981,Chinook,156705,4461190.16,3860962
AYK,Yukon,1981,Chum,1469982,4352314.96,11150218
AYK,Yukon,1981,Coho,23651,100505.66,157717
AYK,Yukon,1982,Chinook,123644,3461228.84,2790392
AYK,Yukon,1982,Chum,685611,2072234.04,4963239
AYK,Yukon,1982,Coho,37176,155990.68,246395
AYK,Yukon,1983,Chinook,105903,2843424.33,2086927
AYK,Yukon,1983,Chum,964478,2252531.26,7053810
AYK,Yukon,1983,Coho,12973,27109.65,84387
AYK,Yukon,1984,Chinook,119864,3634153.6,2443567
AYK,Yukon,1984,Chum,793886,1548740.3,5497401
AYK,Yukon,1984,Coho,81258,287913.58,587725
AYK,Yukon,1985,Chinook,146114,4441309.02,2958218
AYK,Yukon,1985,Chum,784343,1980695.79,5475638
AYK,Yukon,1985,Coho,57654,206063.88,414116
AYK,Yukon,1986,Chinook,99268,3216558.64,2007266
AYK,Yukon,1986,Chum,857945,2359813.35,5957804
AYK,Yukon,1986,Coho,47199,209216.69,299136
AYK,Yukon,1987,Chinook,130913,5570415.84,2830421
AYK,Yukon,1987,Chum,440071,1358823.57,2999797
AYK,Yukon,1988,Chinook,99737,5514030.43,1953602
AYK,Yukon,1988,Chum,1305391,6130860.29,9256507
AYK,Yukon,1988,Coho,97717,807511.74,695133
AYK,Yukon,1988,Pink,,,
AYK,Yukon,1989,Chinook,100838,5393105.47,1990215
AYK,Yukon,1989,Chum,1221088,3238413.04,8810669
AYK,Yukon,1989,Coho,81564,345364.53,571894
